cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0.9999999999999998,0.19999999999999996,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,0.22360679774997896,0.0,0.22360679774997896,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,0.0,0.0,0.0
2,0.19999999999999996,0.9999999999999998,0.0,0.4472135954999579,0.0,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.6324555320336759,0.4472135954999579,0.19999999999999996,0.0,0.0,0.0,0.0,0.3999999999999999
3,0.0,0.0,0.9999999999999998,0.0,0.0,0.31622776601683794,0.31622776601683794,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.31622776601683794,0.9999999999999998,0.0,0.0,0.0,0.0,0.40824829046386296,0.0,0.0,0.0,0.31622776601683794
4,0.0,0.4472135954999579,0.0,1.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.22360679774997896,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.4472135954999579,0.2886751345948129,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.19999999999999996,0.31622776601683794,0.0,0.0,0.9999999999999998,0.19999999999999996,0.0,0.9999999999999998,0.0,0.22360679774997896,0.0,0.22360679774997896,0.19999999999999996,0.31622776601683794,0.0,0.31622776601683794,0.0,0.0,0.2581988897471611,0.0,0.0,0.0,0.19999999999999996
7,0.19999999999999996,0.0,0.31622776601683794,0.0,0.0,0.19999999999999996,0.9999999999999998,0.0,0.19999999999999996,0.0,0.22360679774997896,0.0,0.22360679774997896,0.9999999999999998,0.31622776601683794,0.19999999999999996,0.0,0.0,0.19999999999999996,0.2581988897471611,0.2581988897471611,0.0,0.0,0.19999999999999996
8,0.19999999999999996,0.19999999999999996,0.0,0.22360679774997896,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.22360679774997896,0.0,0.2581988897471611,0.0,0.0,0.0,0.0
9,0.0,0.19999999999999996,0.31622776601683794,0.0,0.0,0.9999999999999998,0.19999999999999996,0.0,0.9999999999999998,0.0,0.22360679774997896,0.0,0.22360679774997896,0.19999999999999996,0.31622776601683794,0.0,0.31622776601683794,0.0,0.0,0.2581988897471611,0.0,0.0,0.0,0.19999999999999996
10,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.4472135954999579,0.0,0.0,0.0,0.3999999999999999,0.0,0.22360679774997896,0.3999999999999999,0.0,0.2581988897471611,0.0,0.0,0.0
11,0.22360679774997896,0.0,0.0,0.0,0.0,0.22360679774997896,0.22360679774997896,0.0,0.22360679774997896,0.0,1.0,0.0,1.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.22360679774997896,0.0,0.0,0.0,0.0,0.0
13,0.22360679774997896,0.0,0.0,0.0,0.0,0.22360679774997896,0.22360679774997896,0.0,0.22360679774997896,0.0,1.0,0.0,1.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.19999999999999996,0.0,0.31622776601683794,0.0,0.0,0.19999999999999996,0.9999999999999998,0.0,0.19999999999999996,0.0,0.22360679774997896,0.0,0.22360679774997896,0.9999999999999998,0.31622776601683794,0.19999999999999996,0.0,0.0,0.19999999999999996,0.2581988897471611,0.2581988897471611,0.0,0.0,0.19999999999999996
15,0.0,0.0,0.9999999999999998,0.0,0.0,0.31622776601683794,0.31622776601683794,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.31622776601683794,0.9999999999999998,0.0,0.0,0.0,0.0,0.40824829046386296,0.0,0.0,0.0,0.31622776601683794
16,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.3999999999999999,0.0,0.0,0.0,0.19999999999999996,0.0,0.9999999999999998,0.31622776601683794,0.0,0.3999999999999999,0.2581988897471611,0.5163977794943222,0.0,0.0,0.19999999999999996
17,0.0,0.6324555320336759,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.6324555320336759
18,0.0,0.4472135954999579,0.0,1.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.22360679774997896,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.4472135954999579,0.2886751345948129,0.0,0.0,0.0,0.0
19,0.0,0.19999999999999996,0.0,0.4472135954999579,0.0,0.0,0.19999999999999996,0.0,0.0,0.3999999999999999,0.0,0.22360679774997896,0.0,0.19999999999999996,0.0,0.3999999999999999,0.0,0.4472135954999579,0.9999999999999998,0.2581988897471611,0.5163977794943222,0.0,0.0,0.0
20,0.0,0.0,0.40824829046386296,0.2886751345948129,0.0,0.2581988897471611,0.2581988897471611,0.2581988897471611,0.2581988897471611,0.0,0.0,0.0,0.0,0.2581988897471611,0.40824829046386296,0.2581988897471611,0.0,0.2886751345948129,0.2581988897471611,1.0000000000000002,0.33333333333333337,0.0,0.0,0.0
21,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,0.0,0.0,0.2581988897471611,0.0,0.0,0.0,0.2581988897471611,0.0,0.5163977794943222,0.0,0.0,0.5163977794943222,0.33333333333333337,1.0000000000000002,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0
24,0.0,0.3999999999999999,0.31622776601683794,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.19999999999999996,0.31622776601683794,0.19999999999999996,0.6324555320336759,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
